vehicle_id,component,event_type,days_ago,notes,severity_hours
V-1050,hydraulics,corrective_repair,39,hydraulics fault cleared after service (39d ago),5315
V-1050,brakes,corrective_repair,40,brakes inspection — wear within limits (40d ago),472
V-1050,hydraulics,oil_analysis,89,Elevated hydraulics temperature recorded (89d ago),5115
V-1050,hydraulics,oil_analysis,96,hydraulics inspection — wear within limits (96d ago),5087
V-1050,brakes,inspection,110,brakes fault cleared after service (110d ago),192
V-1050,hydraulics,corrective_repair,114,Elevated hydraulics temperature recorded (114d ago),5015
V-1050,hydraulics,parts_replacement,130,Scheduled hydraulics PM completed (130d ago),4951
V-1050,brakes,oil_analysis,133,Scheduled brakes PM completed (133d ago),100
V-1050,brakes,oil_analysis,170,Scheduled brakes PM completed (170d ago),0
V-1051,engine,fault_code,1,Elevated engine temperature recorded (1d ago),683
V-1051,engine,preventive_service,31,Scheduled engine PM completed (31d ago),563
V-1051,transmission,preventive_service,34,Deferred transmission work pending parts (34d ago),299
V-1051,transmission,inspection,66,Deferred transmission work pending parts (66d ago),171
V-1051,hydraulics,preventive_service,74,Scheduled hydraulics PM completed (74d ago),112
V-1051,hydraulics,fault_code,111,Deferred hydraulics work pending parts (111d ago),0
V-1051,engine,inspection,142,engine inspection — wear within limits (142d ago),119
V-1051,engine,fault_code,149,Scheduled engine PM completed (149d ago),91
V-1052,electrical,parts_replacement,6,electrical fault cleared after service (6d ago),5098
V-1052,electrical,preventive_service,11,electrical inspection — wear within limits (11d ago),5078
V-1052,electrical,corrective_repair,54,electrical inspection — wear within limits (54d ago),4906
V-1052,suspension,corrective_repair,82,suspension fault cleared after service (82d ago),1163
V-1052,electrical,preventive_service,95,Deferred electrical work pending parts (95d ago),4742
V-1052,electrical,preventive_service,104,electrical inspection — wear within limits (104d ago),4706
V-1052,suspension,oil_analysis,110,Deferred suspension work pending parts (110d ago),1051
V-1052,suspension,corrective_repair,114,suspension fault cleared after service (114d ago),1035
V-1052,suspension,inspection,123,Deferred suspension work pending parts (123d ago),999
V-1052,electrical,fault_code,141,electrical fault cleared after service (141d ago),4558
V-1053,hydraulics,inspection,3,Scheduled hydraulics PM completed (3d ago),118
V-1053,hydraulics,corrective_repair,13,hydraulics fault cleared after service (13d ago),78
V-1053,hydraulics,oil_analysis,13,hydraulics inspection — wear within limits (13d ago),78
V-1053,hydraulics,inspection,61,Elevated hydraulics temperature recorded (61d ago),0
V-1053,hydraulics,inspection,125,hydraulics fault cleared after service (125d ago),0
V-1054,suspension,inspection,42,Scheduled suspension PM completed (42d ago),4515
V-1054,suspension,parts_replacement,84,Elevated suspension temperature recorded (84d ago),4347
V-1054,suspension,fault_code,109,Scheduled suspension PM completed (109d ago),4247
V-1054,suspension,parts_replacement,154,Deferred suspension work pending parts (154d ago),4067
V-1054,suspension,inspection,157,suspension inspection — wear within limits (157d ago),4055
V-1054,suspension,preventive_service,169,Scheduled suspension PM completed (169d ago),4007
V-1055,transmission,preventive_service,31,Deferred transmission work pending parts (31d ago),4935
V-1055,transmission,inspection,124,Elevated transmission temperature recorded (124d ago),4563
V-1055,transmission,inspection,127,Elevated transmission temperature recorded (127d ago),4551
V-1055,transmission,parts_replacement,167,Deferred transmission work pending parts (167d ago),4391
V-1056,suspension,inspection,4,suspension fault cleared after service (4d ago),1236
V-1056,suspension,oil_analysis,5,Deferred suspension work pending parts (5d ago),1232
V-1056,engine,corrective_repair,12,engine fault cleared after service (12d ago),928
V-1056,engine,oil_analysis,17,engine inspection — wear within limits (17d ago),908
V-1056,engine,corrective_repair,31,engine inspection — wear within limits (31d ago),852
V-1056,suspension,oil_analysis,76,suspension fault cleared after service (76d ago),948
V-1056,suspension,parts_replacement,101,Scheduled suspension PM completed (101d ago),848
V-1056,engine,oil_analysis,121,Elevated engine temperature recorded (121d ago),492
V-1056,suspension,inspection,158,Scheduled suspension PM completed (158d ago),620
V-1056,suspension,oil_analysis,177,Scheduled suspension PM completed (177d ago),544
V-1057,engine,inspection,34,Elevated engine temperature recorded (34d ago),722
V-1057,engine,oil_analysis,34,Scheduled engine PM completed (34d ago),722
V-1057,engine,fault_code,100,engine inspection — wear within limits (100d ago),458
V-1057,engine,fault_code,139,Elevated engine temperature recorded (139d ago),302
V-1057,engine,fault_code,140,engine inspection — wear within limits (140d ago),298
V-1057,engine,inspection,173,Deferred engine work pending parts (173d ago),166
V-1058,cooling,parts_replacement,11,Scheduled cooling PM completed (11d ago),723
V-1058,suspension,corrective_repair,24,suspension inspection — wear within limits (24d ago),3206
V-1058,cooling,preventive_service,46,cooling fault cleared after service (46d ago),583
V-1058,cooling,inspection,125,cooling fault cleared after service (125d ago),267
V-1058,suspension,preventive_service,165,suspension inspection — wear within limits (165d ago),2642
V-1058,cooling,inspection,168,Deferred cooling work pending parts (168d ago),95
V-1059,cooling,corrective_repair,5,cooling fault cleared after service (5d ago),4881
V-1059,suspension,preventive_service,43,suspension fault cleared after service (43d ago),2908
V-1059,transmission,preventive_service,79,Elevated transmission temperature recorded (79d ago),2036
V-1059,cooling,preventive_service,83,cooling fault cleared after service (83d ago),4569
V-1059,transmission,inspection,87,Elevated transmission temperature recorded (87d ago),2004
V-1059,suspension,preventive_service,101,Scheduled suspension PM completed (101d ago),2676
V-1059,transmission,preventive_service,104,Elevated transmission temperature recorded (104d ago),1936
V-1059,suspension,corrective_repair,140,suspension inspection — wear within limits (140d ago),2520
V-1059,transmission,preventive_service,168,Scheduled transmission PM completed (168d ago),1680
V-1059,suspension,preventive_service,178,suspension inspection — wear within limits (178d ago),2368
V-1060,cooling,preventive_service,6,Elevated cooling temperature recorded (6d ago),2602
V-1060,hydraulics,oil_analysis,7,hydraulics inspection — wear within limits (7d ago),4295
V-1060,cooling,preventive_service,18,Scheduled cooling PM completed (18d ago),2554
V-1060,suspension,corrective_repair,43,Elevated suspension temperature recorded (43d ago),1015
V-1060,cooling,inspection,45,Deferred cooling work pending parts (45d ago),2446
V-1060,cooling,fault_code,57,cooling fault cleared after service (57d ago),2398
V-1060,cooling,corrective_repair,80,cooling fault cleared after service (80d ago),2306
V-1060,suspension,oil_analysis,113,Scheduled suspension PM completed (113d ago),735
V-1060,cooling,fault_code,130,Deferred cooling work pending parts (130d ago),2106
V-1060,hydraulics,inspection,132,Deferred hydraulics work pending parts (132d ago),3795
V-1060,hydraulics,preventive_service,148,hydraulics inspection — wear within limits (148d ago),3731
V-1060,hydraulics,inspection,160,Deferred hydraulics work pending parts (160d ago),3683
V-1060,suspension,fault_code,162,Scheduled suspension PM completed (162d ago),539
V-1060,hydraulics,inspection,179,hydraulics fault cleared after service (179d ago),3607
V-1061,brakes,inspection,11,brakes fault cleared after service (11d ago),2080
V-1061,brakes,oil_analysis,14,brakes fault cleared after service (14d ago),2068
V-1061,suspension,inspection,47,suspension inspection — wear within limits (47d ago),3191
V-1061,suspension,corrective_repair,63,Deferred suspension work pending parts (63d ago),3127
V-1061,brakes,preventive_service,78,Scheduled brakes PM completed (78d ago),1812
V-1061,brakes,preventive_service,118,Scheduled brakes PM completed (118d ago),1652
V-1061,suspension,inspection,132,suspension inspection — wear within limits (132d ago),2851
V-1061,suspension,preventive_service,145,suspension fault cleared after service (145d ago),2799
V-1062,cooling,corrective_repair,24,cooling fault cleared after service (24d ago),1581
V-1062,transmission,inspection,52,Elevated transmission temperature recorded (52d ago),4647
V-1062,cooling,preventive_service,73,Scheduled cooling PM completed (73d ago),1385
V-1062,transmission,corrective_repair,87,transmission fault cleared after service (87d ago),4507
V-1062,engine,oil_analysis,88,engine fault cleared after service (88d ago),0
V-1062,engine,preventive_service,91,engine inspection — wear within limits (91d ago),0
V-1062,transmission,preventive_service,136,Scheduled transmission PM completed (136d ago),4311
V-1062,transmission,inspection,152,Scheduled transmission PM completed (152d ago),4247
V-1062,transmission,fault_code,153,Deferred transmission work pending parts (153d ago),4243
V-1063,engine,parts_replacement,41,Deferred engine work pending parts (41d ago),1288
V-1063,brakes,oil_analysis,71,Deferred brakes work pending parts (71d ago),1446
V-1063,engine,corrective_repair,102,Scheduled engine PM completed (102d ago),1044
V-1063,engine,corrective_repair,107,Deferred engine work pending parts (107d ago),1024
V-1063,brakes,inspection,108,Elevated brakes temperature recorded (108d ago),1298
V-1063,engine,preventive_service,134,engine inspection — wear within limits (134d ago),916
V-1063,engine,parts_replacement,163,Scheduled engine PM completed (163d ago),800
V-1064,brakes,inspection,42,brakes inspection — wear within limits (42d ago),2789
V-1064,cooling,oil_analysis,60,cooling fault cleared after service (60d ago),960
V-1064,brakes,inspection,87,brakes inspection — wear within limits (87d ago),2609
V-1064,engine,corrective_repair,98,Scheduled engine PM completed (98d ago),660
V-1064,engine,inspection,139,Deferred engine work pending parts (139d ago),496
V-1064,cooling,preventive_service,154,Elevated cooling temperature recorded (154d ago),584
V-1064,cooling,corrective_repair,161,cooling fault cleared after service (161d ago),556
V-1064,brakes,inspection,165,Deferred brakes work pending parts (165d ago),2297
V-1065,electrical,corrective_repair,8,Elevated electrical temperature recorded (8d ago),2707
V-1065,electrical,oil_analysis,28,Elevated electrical temperature recorded (28d ago),2627
V-1065,electrical,preventive_service,64,electrical fault cleared after service (64d ago),2483
V-1065,electrical,parts_replacement,85,electrical inspection — wear within limits (85d ago),2399
V-1065,electrical,corrective_repair,89,Deferred electrical work pending parts (89d ago),2383
V-1066,electrical,fault_code,109,Scheduled electrical PM completed (109d ago),4810
V-1066,electrical,corrective_repair,131,electrical inspection — wear within limits (131d ago),4722
V-1067,hydraulics,fault_code,66,Elevated hydraulics temperature recorded (66d ago),1558
V-1067,hydraulics,oil_analysis,98,hydraulics inspection — wear within limits (98d ago),1430
V-1068,cooling,parts_replacement,8,cooling fault cleared after service (8d ago),4067
V-1068,cooling,parts_replacement,27,cooling fault cleared after service (27d ago),3991
V-1068,cooling,preventive_service,31,Scheduled cooling PM completed (31d ago),3975
V-1068,cooling,preventive_service,63,cooling inspection — wear within limits (63d ago),3847
V-1068,cooling,fault_code,141,Elevated cooling temperature recorded (141d ago),3535
V-1069,cooling,parts_replacement,49,cooling inspection — wear within limits (49d ago),3259
V-1069,cooling,inspection,94,cooling inspection — wear within limits (94d ago),3079
V-1070,hydraulics,oil_analysis,5,Deferred hydraulics work pending parts (5d ago),1789
V-1070,hydraulics,preventive_service,22,hydraulics fault cleared after service (22d ago),1721
V-1070,electrical,parts_replacement,26,Deferred electrical work pending parts (26d ago),312
V-1070,hydraulics,inspection,41,Elevated hydraulics temperature recorded (41d ago),1645
V-1070,engine,parts_replacement,53,Deferred engine work pending parts (53d ago),1725
V-1070,hydraulics,parts_replacement,77,Scheduled hydraulics PM completed (77d ago),1501
V-1070,electrical,parts_replacement,97,Deferred electrical work pending parts (97d ago),28
V-1070,electrical,inspection,106,Elevated electrical temperature recorded (106d ago),0
V-1070,hydraulics,oil_analysis,128,Deferred hydraulics work pending parts (128d ago),1297
V-1070,electrical,oil_analysis,147,electrical inspection — wear within limits (147d ago),0
V-1070,electrical,preventive_service,155,Elevated electrical temperature recorded (155d ago),0
V-1070,hydraulics,fault_code,159,Deferred hydraulics work pending parts (159d ago),1173
V-1070,engine,oil_analysis,165,Deferred engine work pending parts (165d ago),1277
V-1071,transmission,fault_code,3,Scheduled transmission PM completed (3d ago),2453
V-1071,transmission,oil_analysis,3,transmission fault cleared after service (3d ago),2453
V-1071,hydraulics,preventive_service,41,hydraulics inspection — wear within limits (41d ago),3817
V-1071,electrical,parts_replacement,58,electrical inspection — wear within limits (58d ago),3425
V-1071,transmission,preventive_service,84,transmission fault cleared after service (84d ago),2129
V-1071,transmission,fault_code,124,Deferred transmission work pending parts (124d ago),1969
V-1071,electrical,inspection,165,Elevated electrical temperature recorded (165d ago),2997
V-1071,transmission,fault_code,165,Elevated transmission temperature recorded (165d ago),1805
V-1071,hydraulics,fault_code,176,Deferred hydraulics work pending parts (176d ago),3277
V-1072,transmission,parts_replacement,8,transmission inspection — wear within limits (8d ago),1430
V-1072,transmission,corrective_repair,12,transmission inspection — wear within limits (12d ago),1414
V-1072,suspension,preventive_service,19,suspension inspection — wear within limits (19d ago),3661
V-1072,suspension,parts_replacement,34,Deferred suspension work pending parts (34d ago),3601
V-1072,suspension,preventive_service,44,Elevated suspension temperature recorded (44d ago),3561
V-1072,hydraulics,preventive_service,74,hydraulics inspection — wear within limits (74d ago),4448
V-1072,transmission,preventive_service,106,Elevated transmission temperature recorded (106d ago),1038
V-1072,transmission,oil_analysis,135,Scheduled transmission PM completed (135d ago),922
V-1072,suspension,inspection,146,Scheduled suspension PM completed (146d ago),3153
V-1072,transmission,inspection,163,Scheduled transmission PM completed (163d ago),810
V-1072,suspension,parts_replacement,168,Elevated suspension temperature recorded (168d ago),3065
V-1072,hydraulics,inspection,170,Elevated hydraulics temperature recorded (170d ago),4064
V-1072,suspension,corrective_repair,175,suspension inspection — wear within limits (175d ago),3037
V-1073,brakes,fault_code,9,Deferred brakes work pending parts (9d ago),3351
V-1073,suspension,parts_replacement,34,Deferred suspension work pending parts (34d ago),3370
V-1073,suspension,preventive_service,44,Elevated suspension temperature recorded (44d ago),3330
V-1073,suspension,parts_replacement,67,suspension fault cleared after service (67d ago),3238
V-1073,brakes,oil_analysis,70,brakes inspection — wear within limits (70d ago),3107
V-1073,suspension,preventive_service,76,Scheduled suspension PM completed (76d ago),3202
V-1073,brakes,preventive_service,90,brakes inspection — wear within limits (90d ago),3027
V-1073,suspension,inspection,114,suspension fault cleared after service (114d ago),3050
V-1073,suspension,preventive_service,145,suspension fault cleared after service (145d ago),2926
V-1073,brakes,fault_code,166,Scheduled brakes PM completed (166d ago),2723
V-1074,cooling,corrective_repair,56,Deferred cooling work pending parts (56d ago),4000
V-1074,cooling,oil_analysis,57,Deferred cooling work pending parts (57d ago),3996
V-1074,cooling,inspection,91,Scheduled cooling PM completed (91d ago),3860
V-1074,cooling,preventive_service,106,cooling inspection — wear within limits (106d ago),3800
V-1074,cooling,oil_analysis,170,Elevated cooling temperature recorded (170d ago),3544
V-1075,transmission,fault_code,13,Deferred transmission work pending parts (13d ago),3203
V-1075,transmission,inspection,15,transmission inspection — wear within limits (15d ago),3195
V-1075,transmission,preventive_service,16,transmission inspection — wear within limits (16d ago),3191
V-1075,transmission,parts_replacement,37,Deferred transmission work pending parts (37d ago),3107
V-1076,brakes,inspection,1,Scheduled brakes PM completed (1d ago),4398
V-1076,brakes,oil_analysis,16,Deferred brakes work pending parts (16d ago),4338
V-1076,brakes,inspection,33,Elevated brakes temperature recorded (33d ago),4270
V-1076,brakes,corrective_repair,40,brakes inspection — wear within limits (40d ago),4242
V-1076,brakes,inspection,132,Scheduled brakes PM completed (132d ago),3874
V-1076,brakes,fault_code,147,Deferred brakes work pending parts (147d ago),3814
V-1077,transmission,oil_analysis,12,Scheduled transmission PM completed (12d ago),866
V-1077,transmission,oil_analysis,133,Deferred transmission work pending parts (133d ago),382
V-1077,transmission,preventive_service,140,transmission inspection — wear within limits (140d ago),354
V-1078,transmission,fault_code,6,Elevated transmission temperature recorded (6d ago),4851
V-1078,suspension,fault_code,40,suspension inspection — wear within limits (40d ago),2634
V-1078,transmission,parts_replacement,64,Deferred transmission work pending parts (64d ago),4619
V-1078,suspension,corrective_repair,64,suspension inspection — wear within limits (64d ago),2538
V-1078,transmission,oil_analysis,75,transmission inspection — wear within limits (75d ago),4575
V-1078,transmission,inspection,76,Elevated transmission temperature recorded (76d ago),4571
V-1078,suspension,oil_analysis,107,Deferred suspension work pending parts (107d ago),2366
V-1078,transmission,parts_replacement,140,transmission fault cleared after service (140d ago),4315
V-1078,suspension,inspection,155,Deferred suspension work pending parts (155d ago),2174
V-1078,transmission,oil_analysis,176,transmission inspection — wear within limits (176d ago),4171
V-1078,suspension,oil_analysis,178,Deferred suspension work pending parts (178d ago),2082
V-1079,hydraulics,fault_code,32,Scheduled hydraulics PM completed (32d ago),1677
V-1079,hydraulics,corrective_repair,51,hydraulics fault cleared after service (51d ago),1601
V-1079,hydraulics,inspection,65,Scheduled hydraulics PM completed (65d ago),1545
V-1079,hydraulics,fault_code,88,Scheduled hydraulics PM completed (88d ago),1453
V-1079,hydraulics,preventive_service,145,hydraulics inspection — wear within limits (145d ago),1225
V-1080,hydraulics,oil_analysis,17,hydraulics inspection — wear within limits (17d ago),4210
V-1080,cooling,oil_analysis,32,cooling inspection — wear within limits (32d ago),1694
V-1080,cooling,parts_replacement,33,cooling fault cleared after service (33d ago),1690
V-1080,hydraulics,inspection,62,hydraulics fault cleared after service (62d ago),4030
V-1080,hydraulics,inspection,72,hydraulics inspection — wear within limits (72d ago),3990
V-1080,suspension,oil_analysis,75,Scheduled suspension PM completed (75d ago),300
V-1080,suspension,parts_replacement,81,Elevated suspension temperature recorded (81d ago),276
V-1080,suspension,corrective_repair,85,Deferred suspension work pending parts (85d ago),260
V-1080,cooling,oil_analysis,92,cooling inspection — wear within limits (92d ago),1454
V-1080,suspension,preventive_service,119,Scheduled suspension PM completed (119d ago),124
V-1080,suspension,oil_analysis,121,suspension fault cleared after service (121d ago),116
V-1080,cooling,inspection,148,Elevated cooling temperature recorded (148d ago),1230
V-1080,cooling,inspection,152,Scheduled cooling PM completed (152d ago),1214
V-1080,suspension,parts_replacement,167,Elevated suspension temperature recorded (167d ago),0
V-1080,hydraulics,corrective_repair,175,hydraulics inspection — wear within limits (175d ago),3578
V-1081,cooling,fault_code,39,cooling fault cleared after service (39d ago),2845
V-1081,cooling,parts_replacement,95,cooling fault cleared after service (95d ago),2621
V-1082,electrical,preventive_service,8,Elevated electrical temperature recorded (8d ago),4114
V-1082,electrical,corrective_repair,65,Scheduled electrical PM completed (65d ago),3886
V-1082,electrical,inspection,100,Scheduled electrical PM completed (100d ago),3746
V-1082,electrical,fault_code,109,electrical fault cleared after service (109d ago),3710
V-1082,electrical,parts_replacement,118,electrical fault cleared after service (118d ago),3674
V-1082,electrical,parts_replacement,148,Scheduled electrical PM completed (148d ago),3554
V-1083,transmission,inspection,45,transmission fault cleared after service (45d ago),4642
V-1083,engine,oil_analysis,70,Deferred engine work pending parts (70d ago),3782
V-1083,transmission,preventive_service,78,Elevated transmission temperature recorded (78d ago),4510
V-1083,engine,fault_code,88,Elevated engine temperature recorded (88d ago),3710
V-1083,transmission,preventive_service,90,Scheduled transmission PM completed (90d ago),4462
V-1083,transmission,oil_analysis,117,Scheduled transmission PM completed (117d ago),4354
V-1083,engine,preventive_service,131,Deferred engine work pending parts (131d ago),3538
V-1083,brakes,preventive_service,137,Deferred brakes work pending parts (137d ago),3993
V-1083,brakes,fault_code,139,brakes fault cleared after service (139d ago),3985
V-1083,transmission,parts_replacement,152,Elevated transmission temperature recorded (152d ago),4214
V-1083,brakes,preventive_service,158,Deferred brakes work pending parts (158d ago),3909
V-1084,brakes,parts_replacement,16,brakes inspection — wear within limits (16d ago),3518
V-1084,hydraulics,fault_code,25,Scheduled hydraulics PM completed (25d ago),2249
V-1084,brakes,preventive_service,27,Elevated brakes temperature recorded (27d ago),3474
V-1084,brakes,oil_analysis,48,Scheduled brakes PM completed (48d ago),3390
V-1084,electrical,corrective_repair,67,Scheduled electrical PM completed (67d ago),1517
V-1084,electrical,inspection,77,electrical inspection — wear within limits (77d ago),1477
V-1084,hydraulics,fault_code,98,Elevated hydraulics temperature recorded (98d ago),1957
V-1084,brakes,corrective_repair,120,brakes fault cleared after service (120d ago),3102
V-1084,brakes,fault_code,134,Deferred brakes work pending parts (134d ago),3046
V-1084,brakes,fault_code,149,Deferred brakes work pending parts (149d ago),2986
V-1084,hydraulics,parts_replacement,166,Scheduled hydraulics PM completed (166d ago),1685
V-1084,hydraulics,parts_replacement,176,Deferred hydraulics work pending parts (176d ago),1645
V-1085,transmission,fault_code,3,Deferred transmission work pending parts (3d ago),1127
V-1085,transmission,inspection,14,transmission inspection — wear within limits (14d ago),1083
V-1085,electrical,parts_replacement,18,electrical fault cleared after service (18d ago),738
V-1085,transmission,inspection,49,transmission fault cleared after service (49d ago),943
V-1085,electrical,preventive_service,87,Elevated electrical temperature recorded (87d ago),462
V-1085,transmission,inspection,119,transmission inspection — wear within limits (119d ago),663
V-1085,electrical,oil_analysis,121,Deferred electrical work pending parts (121d ago),326
V-1085,electrical,parts_replacement,135,electrical fault cleared after service (135d ago),270
V-1085,electrical,parts_replacement,139,Elevated electrical temperature recorded (139d ago),254
V-1085,transmission,preventive_service,140,transmission fault cleared after service (140d ago),579
V-1086,electrical,fault_code,33,Deferred electrical work pending parts (33d ago),4986
V-1086,transmission,oil_analysis,36,Deferred transmission work pending parts (36d ago),5077
V-1086,electrical,corrective_repair,69,Deferred electrical work pending parts (69d ago),4842
V-1086,transmission,oil_analysis,83,Elevated transmission temperature recorded (83d ago),4889
V-1086,brakes,corrective_repair,128,Elevated brakes temperature recorded (128d ago),3656
V-1086,transmission,fault_code,128,Scheduled transmission PM completed (128d ago),4709
V-1086,brakes,parts_replacement,131,Elevated brakes temperature recorded (131d ago),3644
V-1086,transmission,fault_code,137,Deferred transmission work pending parts (137d ago),4673
V-1086,transmission,oil_analysis,149,Deferred transmission work pending parts (149d ago),4625
V-1086,electrical,parts_replacement,152,electrical fault cleared after service (152d ago),4510
V-1086,transmission,fault_code,159,Elevated transmission temperature recorded (159d ago),4585
V-1086,electrical,corrective_repair,160,electrical fault cleared after service (160d ago),4478
V-1086,electrical,inspection,162,Scheduled electrical PM completed (162d ago),4470
V-1087,suspension,oil_analysis,27,Elevated suspension temperature recorded (27d ago),3050
V-1087,suspension,inspection,28,Elevated suspension temperature recorded (28d ago),3046
V-1087,transmission,preventive_service,31,Scheduled transmission PM completed (31d ago),2294
V-1087,transmission,oil_analysis,51,transmission inspection — wear within limits (51d ago),2214
V-1087,hydraulics,parts_replacement,53,hydraulics inspection — wear within limits (53d ago),1608
V-1087,hydraulics,inspection,81,hydraulics inspection — wear within limits (81d ago),1496
V-1087,transmission,preventive_service,92,Deferred transmission work pending parts (92d ago),2050
V-1087,transmission,fault_code,109,transmission fault cleared after service (109d ago),1982
V-1087,hydraulics,parts_replacement,122,Elevated hydraulics temperature recorded (122d ago),1332
V-1087,suspension,fault_code,124,Elevated suspension temperature recorded (124d ago),2662
V-1087,suspension,fault_code,125,suspension inspection — wear within limits (125d ago),2658
V-1087,transmission,corrective_repair,131,Scheduled transmission PM completed (131d ago),1894
V-1087,hydraulics,inspection,141,hydraulics fault cleared after service (141d ago),1256
V-1087,suspension,oil_analysis,147,suspension fault cleared after service (147d ago),2570
V-1087,suspension,oil_analysis,165,suspension fault cleared after service (165d ago),2498
V-1087,hydraulics,inspection,169,Scheduled hydraulics PM completed (169d ago),1144
V-1088,brakes,oil_analysis,7,Scheduled brakes PM completed (7d ago),3971
V-1088,engine,preventive_service,27,Scheduled engine PM completed (27d ago),4999
V-1088,brakes,corrective_repair,52,Deferred brakes work pending parts (52d ago),3791
V-1088,brakes,parts_replacement,59,brakes fault cleared after service (59d ago),3763
V-1088,engine,parts_replacement,89,Deferred engine work pending parts (89d ago),4751
V-1088,brakes,corrective_repair,121,Elevated brakes temperature recorded (121d ago),3515
V-1088,brakes,oil_analysis,126,Deferred brakes work pending parts (126d ago),3495
V-1088,brakes,corrective_repair,138,brakes inspection — wear within limits (138d ago),3447
V-1089,cooling,oil_analysis,7,cooling inspection — wear within limits (7d ago),922
V-1089,brakes,fault_code,20,Scheduled brakes PM completed (20d ago),29
V-1089,brakes,preventive_service,32,Deferred brakes work pending parts (32d ago),0
V-1089,cooling,corrective_repair,58,Scheduled cooling PM completed (58d ago),718
V-1089,engine,corrective_repair,75,Elevated engine temperature recorded (75d ago),3467
V-1089,engine,oil_analysis,92,Scheduled engine PM completed (92d ago),3399
V-1089,engine,corrective_repair,107,engine fault cleared after service (107d ago),3339
V-1089,engine,corrective_repair,113,Deferred engine work pending parts (113d ago),3315
V-1089,engine,corrective_repair,135,engine inspection — wear within limits (135d ago),3227
V-1089,engine,oil_analysis,161,Deferred engine work pending parts (161d ago),3123
V-1090,suspension,corrective_repair,4,suspension fault cleared after service (4d ago),1710
V-1090,suspension,fault_code,6,Deferred suspension work pending parts (6d ago),1702
V-1090,suspension,parts_replacement,65,Elevated suspension temperature recorded (65d ago),1466
V-1090,engine,oil_analysis,70,Elevated engine temperature recorded (70d ago),1829
V-1090,cooling,corrective_repair,80,Scheduled cooling PM completed (80d ago),2063
V-1090,engine,parts_replacement,100,Elevated engine temperature recorded (100d ago),1709
V-1090,cooling,corrective_repair,111,cooling inspection — wear within limits (111d ago),1939
V-1090,cooling,inspection,157,Deferred cooling work pending parts (157d ago),1755
V-1090,engine,inspection,167,engine inspection — wear within limits (167d ago),1441
V-1090,engine,corrective_repair,177,Scheduled engine PM completed (177d ago),1401
V-1091,suspension,oil_analysis,4,suspension fault cleared after service (4d ago),1929
V-1091,suspension,fault_code,19,suspension inspection — wear within limits (19d ago),1869
V-1091,suspension,inspection,42,Elevated suspension temperature recorded (42d ago),1777
V-1091,engine,oil_analysis,58,engine inspection — wear within limits (58d ago),3201
V-1091,engine,preventive_service,78,Deferred engine work pending parts (78d ago),3121
V-1091,engine,fault_code,85,Scheduled engine PM completed (85d ago),3093
V-1091,engine,corrective_repair,117,Elevated engine temperature recorded (117d ago),2965
V-1091,suspension,preventive_service,130,Scheduled suspension PM completed (130d ago),1425
V-1091,suspension,fault_code,143,Deferred suspension work pending parts (143d ago),1373
V-1092,hydraulics,parts_replacement,3,hydraulics fault cleared after service (3d ago),286
V-1092,electrical,preventive_service,77,Scheduled electrical PM completed (77d ago),3209
V-1092,electrical,parts_replacement,98,electrical inspection — wear within limits (98d ago),3125
V-1092,electrical,oil_analysis,117,Scheduled electrical PM completed (117d ago),3049
V-1092,electrical,parts_replacement,118,electrical fault cleared after service (118d ago),3045
V-1092,electrical,corrective_repair,134,electrical inspection — wear within limits (134d ago),2981
V-1092,hydraulics,inspection,137,Deferred hydraulics work pending parts (137d ago),0
V-1092,hydraulics,parts_replacement,147,Scheduled hydraulics PM completed (147d ago),0
V-1092,electrical,preventive_service,167,electrical fault cleared after service (167d ago),2849
V-1093,transmission,preventive_service,7,Deferred transmission work pending parts (7d ago),5302
V-1093,hydraulics,oil_analysis,25,Deferred hydraulics work pending parts (25d ago),824
V-1093,hydraulics,parts_replacement,37,Deferred hydraulics work pending parts (37d ago),776
V-1093,transmission,inspection,47,Deferred transmission work pending parts (47d ago),5142
V-1093,transmission,inspection,62,Deferred transmission work pending parts (62d ago),5082
V-1093,engine,fault_code,71,Scheduled engine PM completed (71d ago),3632
V-1093,engine,oil_analysis,81,engine inspection — wear within limits (81d ago),3592
V-1093,hydraulics,fault_code,112,Deferred hydraulics work pending parts (112d ago),476
V-1093,engine,parts_replacement,113,engine inspection — wear within limits (113d ago),3464
V-1093,transmission,fault_code,122,Scheduled transmission PM completed (122d ago),4842
V-1093,transmission,preventive_service,122,Elevated transmission temperature recorded (122d ago),4842
V-1093,transmission,inspection,134,Elevated transmission temperature recorded (134d ago),4794
V-1093,hydraulics,preventive_service,136,Deferred hydraulics work pending parts (136d ago),380
V-1093,hydraulics,oil_analysis,140,Elevated hydraulics temperature recorded (140d ago),364
V-1093,hydraulics,fault_code,168,hydraulics fault cleared after service (168d ago),252
V-1094,electrical,oil_analysis,90,Deferred electrical work pending parts (90d ago),2665
V-1094,electrical,corrective_repair,106,electrical fault cleared after service (106d ago),2601
V-1094,electrical,parts_replacement,143,Deferred electrical work pending parts (143d ago),2453
V-1095,brakes,inspection,31,Deferred brakes work pending parts (31d ago),2077
V-1095,brakes,inspection,84,brakes inspection — wear within limits (84d ago),1865
V-1095,brakes,preventive_service,119,brakes fault cleared after service (119d ago),1725
V-1095,brakes,fault_code,121,brakes inspection — wear within limits (121d ago),1717
V-1095,brakes,inspection,171,brakes inspection — wear within limits (171d ago),1517
